,x_value,x_is_imputed,x_is_one_datapoint,x_is_significant,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_significant,y_is_infinite,z_value,z_is_imputed,z_is_one_datapoint,z_is_significant,z_is_infinite,used_for_normalisation,marcs_feature_classification,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
C11orf98,2.1071549630573543,False,False,True,False,0.7691011612549836,False,False,False,False,1.3380538018023709,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.1071549630573543,0.7691011612549836
C7orf50,0.4935132601388616,False,False,False,False,0.4904936922177043,False,False,False,False,0.0030195679211573,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4935132601388616,0.4904936922177043
CALD1,-0.0285673505218397,False,False,False,False,0.0330712970199833,False,False,False,False,-0.0616386475418231,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0285673505218397,0.0330712970199833
CALM1,0.1761043540595928,False,False,False,False,0.7371744850157924,False,False,False,False,-0.5610701309561996,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1761043540595928,0.7371744850157924
CALML5,0.6545297075422205,False,False,False,False,1.3740698804306035,False,False,True,False,-0.719540172888383,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6545297075422205,1.3740698804306035
CALR,2.509958582817781,False,False,True,False,-2.895746322271229,False,False,True,False,5.40570490508901,False,False,True,False,False,,True,True,False,False,False,False,True,True,#bdbdbd,black,3,0.8,#525252,0.35,8,o,True,2.509958582817781,-2.895746322271229
CALU,1.1929843721920683,False,False,False,False,-1.1966744396926003,False,True,False,False,2.3896588118846687,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,1.1929843721920683,-1.1966744396926003
CAMK2D,1.202044204473825,False,False,False,False,-0.2437133663720594,False,False,False,False,1.4457575708458847,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.202044204473825,-0.2437133663720594
CAND1,0.6010737259407506,True,False,False,False,0.1185889014950234,True,True,False,False,0.4824848244457271,False,True,False,False,False,,True,True,True,True,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.6010737259407506,0.1185889014950234
CANX,1.4152803563897471,False,False,False,False,1.6518487048429478,False,False,False,False,-0.2365683484532006,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.4152803563897471,1.6518487048429478
CAP1,1.810210637303577,False,False,False,False,2.083567732072659,False,False,False,False,-0.2733570947690822,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.810210637303577,2.083567732072659
CAPRIN1,1.2307150463907952,False,False,False,False,0.4483506246289828,False,False,False,False,0.7823644217618124,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.2307150463907952,0.4483506246289828
CAPZB,1.65723949235149,False,False,True,False,0.9594482319413516,False,True,False,False,0.6977912604101384,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,1.65723949235149,0.9594482319413516
CASP14,0.541932784706507,False,False,False,False,1.2930961022812255,False,False,False,False,-0.7511633175747185,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.541932784706507,1.2930961022812255
CAT,0.7803121563482236,False,False,True,False,0.574001336538533,False,False,False,False,0.2063108198096905,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7803121563482236,0.574001336538533
CAV1,-0.2369780480302949,False,False,False,False,-1.771404850980435,False,False,False,False,1.53442680295014,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2369780480302949,-1.771404850980435
CAVIN1,2.1443909098152183,False,False,True,False,1.2658420908578627,False,False,True,False,0.8785488189573556,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.1443909098152183,1.2658420908578627
CBX1,-0.2864204115110524,False,False,False,False,0.4354596424072596,False,False,False,False,-0.7218800539183121,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2864204115110524,0.4354596424072596
CBX3,-0.0833447735823753,False,False,False,False,-0.1793009933007923,False,False,False,False,0.0959562197184169,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0833447735823753,-0.1793009933007923
CBX5,-0.6808139980532282,False,False,True,False,-0.0948019800351822,False,False,False,False,-0.5860120180180459,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.6808139980532282,-0.0948019800351822
CCAR1,inf,True,False,False,True,inf,True,False,False,True,-0.0637028171438558,False,False,False,False,False,Neither,False,False,False,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,diag-up-right,False,6.011147563540063,5.938564827602014
CCAR2,2.054758063538557,True,False,False,False,0.4097810809288376,True,False,False,False,1.6449769826097267,False,False,False,False,False,,True,True,False,True,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,2.054758063538557,0.4097810809288376
CCDC124,1.4529791684418,False,False,True,False,1.1403255222748,False,False,True,False,0.312653646167,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.4529791684418,1.1403255222748
CCDC47,1.3198494663660902,False,False,True,False,1.2187408411704972,False,False,True,False,0.101108625195593,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.3198494663660902,1.2187408411704972
CCDC71L,0.0299469072337501,False,False,False,False,0.297873723873888,False,False,False,False,-0.2679268166401378,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0299469072337501,0.297873723873888
CCT2,1.525635473361163,True,True,False,False,-inf,True,False,False,True,inf,True,True,False,True,False,,True,False,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,v,False,1.525635473361163,-3.1125
CCT3,0.4561319854283212,False,False,False,False,-0.271897924575434,False,False,False,False,0.7280299100037553,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4561319854283212,-0.271897924575434
CCT4,0.7104638250413586,False,True,False,False,-0.6105145508857461,False,True,False,False,1.3209783759271048,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.7104638250413586,-0.6105145508857461
CCT5,1.7778688679192456,True,False,False,False,-inf,True,False,False,True,inf,True,False,False,True,False,,True,False,False,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,v,False,1.7778688679192456,-3.1125
CCT8,-2.542244936134228,False,False,True,False,-3.3835108064478625,False,True,True,False,0.8412658703136344,False,True,False,False,False,,True,False,True,False,False,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,v,False,-2.542244936134228,-3.1125
CD44,2.789022455220497,False,False,True,False,0.8158719606626441,False,False,False,False,1.9731504945578529,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.789022455220497,0.8158719606626441
CDC37,-0.0531370774392456,False,False,False,False,0.4852424340224033,False,False,False,False,-0.538379511461649,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0531370774392456,0.4852424340224033
CDC42,1.7982131216396198,False,False,True,False,0.9045611292050176,False,False,False,False,0.8936519924346022,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.7982131216396198,0.9045611292050176
CDC42BPB,1.2873213552662932,False,False,True,False,0.6053619420645688,False,False,False,False,0.6819594132017244,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.2873213552662932,0.6053619420645688
CDC5L,2.591532350340483,False,False,True,False,4.446435409254931,False,False,True,False,-1.8549030589144488,False,False,True,False,False,Neither,True,True,False,False,False,False,True,True,#bdbdbd,black,3,0.8,#525252,0.35,8,o,True,2.591532350340483,4.446435409254931
CDSN,1.3506768436316283,False,False,False,False,-0.2267763472317447,False,False,False,False,1.577453190863373,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.3506768436316283,-0.2267763472317447
