Label,normalised_data__H3_1,normalised_data__H3_2,normalised_data__H3_3,normalised_data__H4_1,normalised_data__H4_2,normalised_data__H4_3,normalised_data__H3K4me3_1,normalised_data__H3K4me3_2,normalised_data__H3K4me3_3,normalised_data__H3K4me1_1,normalised_data__H3K4me1_2,normalised_data__H3K4me1_3,comment__comment,H3K4me1vsControl__logFC,H3K4me1vsControl__t,H3K4me1vsControl__P.Value,H3K4me1vsControl__adj.P.Val,H3K4me1vsControl__B,H3K4me1vsControl__significant,H3K4me3vsControl__logFC,H3K4me3vsControl__t,H3K4me3vsControl__P.Value,H3K4me3vsControl__adj.P.Val,H3K4me3vsControl__B,H3K4me3vsControl__significant,H3K4me3vsH3K4me1__logFC,H3K4me3vsH3K4me1__t,H3K4me3vsH3K4me1__P.Value,H3K4me3vsH3K4me1__adj.P.Val,H3K4me3vsH3K4me1__B,H3K4me3vsH3K4me1__significant,coefficient_estimates__ExperimentH4,coefficient_estimates__ExperimentH3,coefficient_estimates__ExperimentH3K4me1,coefficient_estimates__ExperimentH3K4me3,H3K4me1vsControl__logFC_imputed,H3K4me1vsControl__logFC_is_imputed,H3K4me1vsControl__logFC_based_on_single_datapoint,H3K4me3vsControl__logFC_imputed,H3K4me3vsControl__logFC_is_imputed,H3K4me3vsControl__logFC_based_on_single_datapoint,H3K4me3vsH3K4me1__logFC_imputed,H3K4me3vsH3K4me1__logFC_is_imputed,H3K4me3vsH3K4me1__logFC_based_on_single_datapoint
MATR3,21.10492205873882,21.45978779025426,20.263834269664905,19.55793253322409,20.75354148235818,19.3230528331329,22.272542255260312,22.420468523142215,21.823014305643174,21.275459719931618,20.17906585775583,20.228375873664703,,0.15045532255519234,0.3749067785801388,0.7155352570521938,0.7787253836490109,-7.149709841577552,False,1.761496533453041,4.389322887495086,0.0013477618781960424,0.005335794190430813,-1.360775115114837,True,1.6110412108978487,3.476586331681822,0.005928568970828621,0.059898989946647795,-2.506001698333141,False,19.878175616238394,20.942848039552665,20.560967150450722,22.17200836134857,0.15045532255519234,False,False,1.761496533453041,False,False,1.6110412108978487,False,False
MT1X,19.732629856961495,19.826416076932105,19.386561737559454,19.18340496850753,19.64937966283353,19.177042470333944,19.07505216637228,19.793960776299738,19.24121715812571,20.1878684566581,19.931559135125838,19.66686557389699,,0.43619192637230597,1.9288001046461836,0.0818893905996989,0.15317702973782962,-5.494837620210191,False,-0.12249576192209943,-0.5416648592720497,0.5996259840431664,0.6651114533531437,-7.058588021726788,False,-0.5586876882944054,-2.139485417912596,0.057433895595475584,0.21035164261842934,-4.738940902417844,False,19.336609033891676,19.648535890484357,19.92876438856032,19.370076700265916,0.43619192637230597,False,False,-0.12249576192209943,False,False,-0.5586876882944054,False,False
MTA2,23.055457788705112,23.01144602941553,23.38166760214753,24.42527326501822,23.745413890723533,24.43002897543075,20.96425710809373,21.438629416404694,21.147314542796387,20.30447768453601,19.83887179946968,20.261888450108117,,-3.539801947202182,-15.91331818546609,1.4694899578073599e-08,4.1047752821418915e-06,10.357830692723498,True,-2.4914809028085116,-11.200549903855853,4.4763687327245227e-07,3.430526219715248e-05,6.960741901307232,True,1.0483210443936706,4.081377054024001,0.002099772722002697,0.03291345093218516,-1.4690240194864188,True,24.200238710390842,23.149523806756065,20.13507931137127,21.18340035576494,-3.539801947202182,False,False,-2.4914809028085116,False,False,1.0483210443936706,False,False
MBD1,21.44411620163504,21.442523910537084,20.847661017080974,20.893582089271497,20.94065579618083,20.7438635159862,21.718253978918973,22.021847329036646,21.34416019705071,22.31151496604825,22.192534882761727,21.53595311666498,,0.961267233376379,3.952887479580874,0.002590849562301688,0.013485291510613756,-2.0616271162907776,True,0.6426867465535047,2.6428326125511536,0.024145482598956925,0.045843787907479026,-4.313769894657543,True,-0.3185804868228743,-1.1345407951991828,0.2824051474193899,0.5349276195253212,-6.127674920532891,False,20.859367133812846,21.244767043084373,22.01333432182499,21.694753835002114,0.961267233376379,False,False,0.6426867465535047,False,False,-0.3185804868228743,False,False
MECP2,21.662991812637724,21.52342187726167,21.456795145652038,21.37620653452533,21.444530136000385,21.202988324658953,21.525835910992196,21.34345660921062,20.902525694565124,21.925986179000738,21.76025144909633,22.03997779778714,,0.46424950350538907,2.5615738500505763,0.02779761426537259,0.07016385769392237,-4.461501007886263,False,-0.1872162335333698,-1.0329967065187717,0.3253646822812446,0.3907157082095288,-6.66250682947431,False,-0.6514657370387589,-3.112989417684624,0.010696518443622915,0.07967999755885205,-3.1072717100840848,False,21.34124166506156,21.547736278517142,21.90873847529474,21.25727273825598,0.46424950350538907,False,False,-0.1872162335333698,False,False,-0.6514657370387589,False,False
MFAP1,,,,,15.343102313486078,,,17.687657420202175,17.515228925368437,18.0316221486356,17.03692861261392,16.154195863772213,logFC(H3K4me1vsControl) estimation failed and was imputed based on a single datapoint only; logFC(H3K4me3vsControl) estimation failed and was imputed based on a single datapoint only,,,,,,False,,,,,,False,0.5271942977780597,0.8900085883259805,0.41399644100373567,0.6574829658770122,-6.240728469291678,False,15.343102313486078,,17.07424887500725,17.60144317278531,1.7311465615211645,True,True,2.258340859299228,True,True,0.5271942977780597,False,False
MACF1,22.495451517697454,22.685469912911934,20.238434122505286,21.111307793209555,21.57409640120108,19.42430116704083,21.981846936192152,22.458740262683555,20.94395594552911,17.123747867954947,,,logFC(H3K4me1vsControl) estimation was based on a single datapoint only; logFC(H3K4me3vsH3K4me1) estimation was based on a single datapoint only,-4.131095617806082,-3.8794197817198808,0.004644836472477437,0.019960886994544062,-2.1395448944990854,True,0.5400042290405835,0.7746171043659781,0.4607632590683427,0.5263190073097735,-6.89290524214964,False,4.671099846846666,4.1032190835995035,0.0033951055836672164,0.04430089986490331,-1.569139077006982,True,20.703235120483825,21.80645185103823,17.123747867954947,21.794847714801612,-4.131095617806082,False,True,0.5400042290405835,False,False,4.671099846846666,False,True
MAP4,20.65363327203892,20.494374683129315,20.07472738391142,20.14184778834624,20.822812259098686,19.78646946394185,21.43838691731127,21.81556221887031,21.581012032599862,22.31975583423592,21.808987985686024,20.940282044839037,,1.3606978131759284,4.188161912815211,0.0018504151423586392,0.010843691533542235,-1.6988985123166485,True,1.2826762478494125,3.94801531662421,0.002722120796042265,0.008792137283768695,-2.090079903349361,True,-0.07802156532651594,-0.20797305293377027,0.8394114015808108,0.9200032693136319,-6.760810443140552,False,20.250376503795593,20.407578446359885,21.689675288253667,21.61165372292715,1.3606978131759284,False,False,1.2826762478494125,False,False,-0.07802156532651594,False,False
MAPK1,17.559377074937714,18.59715108717809,18.32252848096921,14.768162027252979,16.184713349247936,18.46268976817194,,,19.55581232990633,18.04883040731881,,19.7371427298761,logFC(H3K4me3vsControl) estimation was based on a single datapoint only; logFC(H3K4me3vsH3K4me1) estimation was based on a single datapoint only,1.577216270637809,1.6803490893822206,0.13659374066874977,0.2231297362191273,-5.738538932028556,False,2.240042031946686,1.8040368711623778,0.1140249967023541,0.162644792250566,-5.291519194503567,False,0.662825761308877,0.4707782461074277,0.6520565206758485,0.8289469034658568,-6.265451260988556,False,16.47185504822429,18.159685547695005,18.892986568597454,19.55581232990633,1.577216270637809,False,False,2.240042031946686,False,True,0.662825761308877,False,True
MAP4K4,,19.270077984352334,18.869450235107344,19.799661885522454,17.152604578895495,18.824795874372036,21.265089789777132,20.968227084138295,21.210886148855234,18.30703977230541,19.196560052704157,18.715120094070105,,-0.09148580497002712,-0.17707652946128885,0.8633563802309518,0.8943048784098118,-7.16896513582692,False,2.317008562926972,4.484715800332263,0.0015093761738040272,0.005720196091377026,-1.3643496101776513,True,2.408494367896999,4.202082820158846,0.0022825958731293476,0.034006809703062656,-1.4713015210290639,True,18.592354112929996,19.069764109729842,18.739573306359894,21.148067674256893,-0.09148580497002712,False,False,2.317008562926972,False,False,2.408494367896999,False,False
